 x_1         f_x1     grad_x1       x_1_step   
5.00000e-01  1.50000e+00  3.00000e+00  5.00000e-01  
4.99000e-01  -4.99000e-01  -1.00000e+00  1.00000e-03  
4.98600e-01  -4.98600e-01  -1.00000e+00  4.00219e-04  
4.98498e-01  1.49549e+00  3.00000e+00  1.02171e-04  
4.98045e-01  -4.98045e-01  -1.00000e+00  4.52155e-04  
4.97792e-01  -4.97792e-01  -1.00000e+00  2.53764e-04  
4.97690e-01  1.49307e+00  3.00000e+00  1.02171e-04  
4.97341e-01  -4.97341e-01  -1.00000e+00  3.48374e-04  
4.97127e-01  -4.97127e-01  -1.00000e+00  2.14449e-04  
4.97025e-01  1.49107e+00  3.00000e+00  1.02171e-04  
4.96719e-01  -4.96719e-01  -1.00000e+00  3.05528e-04  
4.96522e-01  -4.96522e-01  -1.00000e+00  1.96869e-04  
4.96420e-01  1.48926e+00  3.00000e+00  1.02171e-04  
4.96137e-01  -4.96137e-01  -1.00000e+00  2.83088e-04  
4.95950e-01  -4.95950e-01  -1.00000e+00  1.87318e-04  
4.95847e-01  1.48754e+00  3.00000e+00  1.02171e-04  
4.95577e-01  -4.95577e-01  -1.00000e+00  2.69900e-04  
4.95396e-01  -4.95396e-01  -1.00000e+00  1.81584e-04  
4.95294e-01  1.48588e+00  3.00000e+00  1.02171e-04  
4.95032e-01  -4.95032e-01  -1.00000e+00  2.61634e-04  
4.94854e-01  -4.94854e-01  -1.00000e+00  1.77937e-04  
4.94752e-01  1.48426e+00  3.00000e+00  1.02171e-04  
4.94496e-01  -4.94496e-01  -1.00000e+00  2.56253e-04  
4.94320e-01  -4.94320e-01  -1.00000e+00  1.75534e-04  
4.94218e-01  1.48265e+00  3.00000e+00  1.02171e-04  
4.93965e-01  -4.93965e-01  -1.00000e+00  2.52671e-04  
4.93791e-01  -4.93791e-01  -1.00000e+00  1.73917e-04  
4.93689e-01  1.48107e+00  3.00000e+00  1.02171e-04  
4.93439e-01  -4.93439e-01  -1.00000e+00  2.50260e-04  
4.93266e-01  -4.93266e-01  -1.00000e+00  1.72816e-04  
4.93164e-01  1.47949e+00  3.00000e+00  1.02171e-04  
4.92915e-01  -4.92915e-01  -1.00000e+00  2.48633e-04  
4.92743e-01  -4.92743e-01  -1.00000e+00  1.72063e-04  
4.92641e-01  1.47792e+00  3.00000e+00  1.02171e-04  
4.92394e-01  -4.92394e-01  -1.00000e+00  2.47540e-04  
4.92222e-01  -4.92222e-01  -1.00000e+00  1.71548e-04  
4.92120e-01  1.47636e+00  3.00000e+00  1.02171e-04  
4.91873e-01  -4.91873e-01  -1.00000e+00  2.46816e-04  
4.91702e-01  -4.91702e-01  -1.00000e+00  1.71199e-04  
4.91600e-01  1.47480e+00  3.00000e+00  1.02171e-04  
4.91353e-01  -4.91353e-01  -1.00000e+00  2.46348e-04  
4.91182e-01  -4.91182e-01  -1.00000e+00  1.70965e-04  
4.91080e-01  1.47324e+00  3.00000e+00  1.02171e-04  
4.90834e-01  -4.90834e-01  -1.00000e+00  2.46058e-04  
4.90663e-01  -4.90663e-01  -1.00000e+00  1.70813e-04  
4.90561e-01  1.47168e+00  3.00000e+00  1.02171e-04  
4.90315e-01  -4.90315e-01  -1.00000e+00  2.45892e-04  
4.90145e-01  -4.90145e-01  -1.00000e+00  1.70718e-04  
4.90042e-01  1.47013e+00  3.00000e+00  1.02171e-04  
4.89797e-01  -4.89797e-01  -1.00000e+00  2.45812e-04  
4.89626e-01  -4.89626e-01  -1.00000e+00  1.70662e-04  
4.89524e-01  1.46857e+00  3.00000e+00  1.02171e-04  
4.89278e-01  -4.89278e-01  -1.00000e+00  2.45790e-04  
4.89107e-01  -4.89107e-01  -1.00000e+00  1.70634e-04  
4.89005e-01  1.46702e+00  3.00000e+00  1.02171e-04  
4.88759e-01  -4.88759e-01  -1.00000e+00  2.45808e-04  
4.88589e-01  -4.88589e-01  -1.00000e+00  1.70626e-04  
4.88487e-01  1.46546e+00  3.00000e+00  1.02171e-04  
